index,distance,x,y,z
0,0.000000,244.800003052,10.210000038,368.000000000
1,5.000000,239.889310125,9.981322087,367.999847412
2,10.000000,234.895623626,9.738499728,367.999087465
3,15.000000,229.905340501,9.471547986,367.870285624
4,20.000000,224.937614585,9.367961358,367.339949463
5,25.000000,220.035513432,9.347451942,366.362372739
6,30.000000,215.146273688,9.229033356,365.325736498
7,35.000000,210.214494646,8.995835134,364.546746833
8,40.000000,205.249290193,8.619684335,364.122432537
9,45.000000,200.292412764,7.992176000,364.101369759
10,50.000000,195.338576980,7.548473598,364.568031432
11,55.000000,190.440614639,7.418113303,365.542778055
12,60.000000,185.656561973,7.415140267,366.987398857
13,65.000000,181.024895216,7.548167706,368.855073514
14,70.000000,176.611126920,8.006099639,371.152138994
15,75.000000,172.379718886,8.418371142,373.778732434
16,80.000000,168.413769467,8.784868919,376.792248836
17,85.000000,164.868088558,9.275359361,380.273647791
18,90.000000,161.869514374,9.817207924,384.230893162
19,95.000000,159.448224166,10.341739718,388.562353864
20,100.000000,157.711195079,10.850735519,393.215228817
21,105.000000,157.110718364,11.188013367,398.155991454
22,110.000000,157.348058827,11.234579813,403.136709407
23,115.000000,158.497206738,11.016977229,407.989770774
24,120.000000,159.913255835,10.345664482,412.734561768
25,125.000000,161.492123419,9.413703171,417.385063258
26,130.000000,163.332028624,8.535431655,421.949142650
27,135.000000,165.298658809,7.856189911,426.495047844
28,140.000000,167.390239024,7.433636004,431.014166736
29,145.000000,169.664461582,7.217357583,435.461014850
30,150.000000,172.046263006,7.200629734,439.856960431
31,155.000000,174.451279388,7.299815407,444.239397540
32,160.000000,176.861760254,7.416209902,448.618324557
33,165.000000,179.290105964,7.461528499,452.988699601
34,170.000000,181.729978906,7.499314958,457.352697446
35,175.000000,184.203485405,7.586803045,461.697034273
36,180.000000,186.793124282,7.632118751,465.972638038
37,185.000000,189.565788475,7.627381058,470.132040053
38,190.000000,192.545599670,7.677265550,474.144496794
39,195.000000,195.735098424,7.722875193,477.992644921
40,200.000000,199.093319497,7.642766543,481.694114011
41,205.000000,202.628117715,7.498443066,485.224978004
42,210.000000,206.351094340,7.464097330,488.558338697
43,215.000000,210.266948109,7.480258563,491.663218494
44,220.000000,214.393306255,7.471917261,494.479908974
45,225.000000,218.696002781,7.445905980,497.022689280
46,230.000000,223.127225512,7.458877092,499.334297888
47,235.000000,227.660842684,7.555409280,501.437572129
48,240.000000,232.273435281,7.693186884,503.359979068
49,245.000000,236.937742759,7.810164329,505.157171216
50,250.000000,241.606904469,7.880431764,506.944305055
51,255.000000,246.278663833,7.922476912,508.725562124
52,260.000000,250.949401869,7.938665333,510.509923112
53,265.000000,255.618406294,7.869080917,512.297285532
54,270.000000,260.307021863,7.773512119,514.031222881
55,275.000000,265.027796451,7.696916805,515.675561396
56,280.000000,269.785841672,7.636885849,517.209080822
57,285.000000,274.584570638,7.571099749,518.608842336
58,290.000000,279.430750989,7.490289542,519.836801730
59,295.000000,284.313475379,7.473359751,520.913238407
60,300.000000,289.221724777,7.435125343,521.863511461
61,305.000000,294.149139374,7.427804695,522.709303032
62,310.000000,299.088972016,7.456427611,523.481619808
63,315.000000,304.034841700,7.498939780,524.214084671
64,320.000000,308.985206290,7.528718775,524.916226846
65,325.000000,313.936725836,7.525299038,525.610576873
66,330.000000,318.888520794,7.483344560,526.301310852
67,335.000000,323.840612616,7.426850036,526.988914752
68,340.000000,328.793984862,7.424813566,527.670163056
69,345.000000,333.747157912,7.467241547,528.351383829
70,350.000000,338.701148731,7.487966181,529.027438021
71,355.000000,343.658834717,7.485839437,529.675336874
72,360.000000,348.624186646,7.471813394,530.262774943
73,365.000000,353.602350712,7.444628559,530.728318139
74,370.000000,358.585832831,7.455421092,531.130782167
75,375.000000,363.574113863,7.488529879,531.467686687
76,380.000000,368.567140392,7.524050642,531.729267185
77,385.000000,373.564388672,7.544897195,531.892109316
78,390.000000,378.562590830,7.536136247,532.021491274
79,395.000000,383.561445281,7.513432264,532.124474554
80,400.000000,388.560828232,7.517138588,532.202937113
81,405.000000,393.560370778,7.543864985,532.263436731
82,410.000000,398.560020687,7.559000307,532.316730913
83,415.000000,403.559772049,7.549502374,532.365680913
84,420.000000,408.559552046,7.538717780,532.411327112
85,425.000000,413.559314639,7.523843820,532.457580691
86,430.000000,418.559069249,7.508972932,532.503987017
87,435.000000,423.558868567,7.518497160,532.547759946
88,440.000000,428.558664669,7.536843141,532.588472967
89,445.000000,433.558453869,7.560477261,532.627803093
90,450.000000,438.558221138,7.587259142,532.667927750
91,455.000000,443.557993201,7.582940666,532.711142287
92,460.000000,448.557603209,7.590301024,532.753280191
93,465.000000,453.556638777,7.682424521,532.787289849
94,470.000000,458.510665678,8.277699531,532.788478136
95,475.000000,463.403970509,9.243343757,532.765984238
96,480.000000,468.123365471,10.893513639,532.700788004
97,485.000000,472.746309814,12.788758456,532.624533028
98,490.000000,477.315837333,14.816070539,532.541958770
99,495.000000,481.844793928,16.932864593,532.454009379
100,500.000000,486.404307081,18.982577538,532.366469329
101,505.000000,490.993018461,20.965165762,532.278709498
102,510.000000,495.625373642,22.844909456,532.190114242
103,515.000000,500.310104477,24.589212212,532.101699310
104,520.000000,505.028891579,26.237839805,532.013019580
105,525.000000,509.782006900,27.786119475,531.923901305
106,530.000000,514.581507048,29.184925371,531.833677122
107,535.000000,519.415767004,30.455967584,531.742599365
108,540.000000,524.278665133,31.611749252,531.650802300
109,545.000000,529.169029168,32.647836112,531.558341272
110,550.000000,534.092394985,33.514930111,531.465513323
111,555.000000,539.037928238,34.240579542,531.372696361
112,560.000000,544.000744253,34.834464532,531.279573534
113,565.000000,548.978235187,35.293490804,531.185989531
114,570.000000,553.968462475,35.591458292,531.091931100
115,575.000000,558.965556828,35.718346115,530.997492546
116,580.000000,563.963727064,35.704293630,530.903088360
117,585.000000,568.959565949,35.548353060,530.809021883
118,590.000000,573.949598392,35.250105493,530.715538182
119,595.000000,578.925328346,34.767013951,530.622082394
120,600.000000,583.883472787,34.133334438,530.528739306
121,605.000000,588.821603592,33.360756651,530.435738881
122,610.000000,593.736683598,32.451299932,530.343403799
123,615.000000,598.623222610,31.396103728,530.252313404
124,620.000000,603.469144161,30.168503478,530.162965526
125,625.000000,608.280544644,28.814011193,530.074149407
